country,capital
Benin,Porto-Novo
Burkina-Faso,Ouagadougou
Cameroon,Yaounde
Cape-Verde,Praia
Gambia,Banjul
Ghana,Accra
Guinea,Conakry
Guinea-Bissau,Bissau
Liberia,Monrovia
Mali,Bamako
Mauritania,Nouakchott
Niger,Niamey
Nigeria,Abuja
Senegal,Dakar
Sierra-Leone,Freetown
Togo,Lome
