Country,Current_Weather,Current_Temperature(F),Date
Nigeria,Overcast.,89,13/04/2023
Senegal,Sunny.,75,13/04/2023
Sierra-Leone,Partly sunny.,82,13/04/2023
Togo,Scattered clouds.,90,13/04/2023
Benin,Scattered clouds.,90,14/04/2023
Burkina-Faso,Scattered clouds.,87,14/04/2023
Cape-Verde,Scattered clouds.,84,14/04/2023
Cote-Divoire,Overcast.,76,14/04/2023
Gambia,Sunny.,100,14/04/2023
Ghana,Sunny.,88,14/04/2023
Guinea,Passing clouds.,86,14/04/2023
Guinea-Bissau,Clear.,93,14/04/2023
Liberia,Fog.,77,14/04/2023
Mali,Passing clouds.,100,14/04/2023
Mauritania,Sunny.,97,14/04/2023
Niger,Clear.,99,14/04/2023
Nigeria,Overcast.,89,14/04/2023
Senegal,Sunny.,79,14/04/2023
Sierra-Leone,Scattered clouds.,81,14/04/2023
Togo,Passing clouds.,91,14/04/2023
Benin,Partly sunny.,91,15/04/2023
Burkina-Faso,Overcast.,86,15/04/2023
Cape-Verde,Passing clouds.,80,15/04/2023
Cote-Divoire,Scattered clouds.,82,15/04/2023
Gambia,Sunny.,93,15/04/2023
Ghana,Scattered clouds.,88,15/04/2023
Guinea,Sunny.,88,15/04/2023
Guinea-Bissau,Clear.,91,15/04/2023
Liberia,Overcast.,78,15/04/2023
Mali,Passing clouds.,95,15/04/2023
Mauritania,Sunny.,100,15/04/2023
Niger,Duststorm.,106,15/04/2023
Nigeria,Overcast.,90,15/04/2023
Senegal,Sunny.,79,15/04/2023
Sierra-Leone,Partly sunny.,84,15/04/2023
Togo,Scattered clouds.,91,15/04/2023
Benin,Passing clouds.,88,16/04/2023
Burkina-Faso,Partly sunny.,87,16/04/2023
Cape-Verde,Passing clouds.,80,16/04/2023
Cote-Divoire,Overcast.,81,16/04/2023
Gambia,Clear.,91,16/04/2023
Ghana,Passing clouds.,90,16/04/2023
Guinea,Sunny.,90,16/04/2023
Guinea-Bissau,Clear.,91,16/04/2023
Liberia,Overcast.,75,16/04/2023
Mali,Passing clouds.,97,16/04/2023
Mauritania,Sunny.,99,16/04/2023
Niger,Sunny.,104,16/04/2023
Nigeria,Overcast.,85,16/04/2023
Senegal,Sunny.,79,16/04/2023
Sierra-Leone,Scattered clouds.,82,16/04/2023
Togo,Passing clouds.,90,16/04/2023
Benin,Passing clouds.,88,17/04/2023
Burkina-Faso,Partly sunny.,86,17/04/2023
Cape-Verde,Clear.,73,17/04/2023
Cote-Divoire,Overcast.,78,17/04/2023
Gambia,Sunny.,95,17/04/2023
Ghana,Passing clouds.,84,17/04/2023
Guinea,Passing clouds.,88,17/04/2023
Guinea-Bissau,Clear.,88,17/04/2023
Liberia,Partly sunny.,88,17/04/2023
Mali,Passing clouds.,100,17/04/2023
Mauritania,Sunny.,95,17/04/2023
Niger,Clear.,100,17/04/2023
Nigeria,Overcast.,81,17/04/2023
Senegal,Sunny.,73,17/04/2023
Sierra-Leone,Scattered clouds.,81,17/04/2023
Togo,Passing clouds.,86,17/04/2023
Benin,Scattered clouds.,91,18/04/2023
Burkina-Faso,Passing clouds.,91,18/04/2023
Cape-Verde,Passing clouds.,72,18/04/2023
Cote-Divoire,Partly sunny.,82,18/04/2023
Gambia,Sunny.,91,18/04/2023
Ghana,Passing clouds.,88,18/04/2023
Guinea,Partly sunny.,88,18/04/2023
Guinea-Bissau,Clear.,91,18/04/2023
Liberia,Scattered clouds.,90,18/04/2023
Mali,Passing clouds.,100,18/04/2023
Mauritania,Sunny.,86,18/04/2023
Niger,Sunny.,106,18/04/2023
Nigeria,Overcast.,84,18/04/2023
Senegal,Sunny.,73,18/04/2023
Sierra-Leone,Partly sunny.,81,18/04/2023
Togo,Scattered clouds.,88,18/04/2023
Benin,Thunderstorms. Broken clouds.,73,19/04/2023
Burkina-Faso,Partly sunny.,88,19/04/2023
Cape-Verde,Passing clouds.,71,19/04/2023
Cote-Divoire,Partly sunny.,84,19/04/2023
Gambia,Sunny.,90,19/04/2023
Ghana,Passing clouds.,91,19/04/2023
Guinea,Partly sunny.,90,19/04/2023
Guinea-Bissau,Clear.,93,19/04/2023
Liberia,Partly sunny.,90,19/04/2023
Mali,Sunny.,99,19/04/2023
Mauritania,Sunny.,82,19/04/2023
Niger,Clear.,97,19/04/2023
Nigeria,Overcast.,85,19/04/2023
Senegal,Sunny.,68,19/04/2023
Sierra-Leone,Partly sunny.,81,19/04/2023
Togo,Scattered clouds.,90,19/04/2023
Benin,Scattered clouds.,90,20/04/2023
Burkina-Faso,Overcast.,83,20/04/2023
Cape-Verde,Passing clouds.,71,20/04/2023
Cote-Divoire,Partly sunny.,81,20/04/2023
Gambia,Sunny.,84,20/04/2023
Ghana,Partly sunny.,88,20/04/2023
Guinea,Scattered clouds.,90,20/04/2023
Guinea-Bissau,Clear.,91,20/04/2023
Liberia,Partly sunny.,84,20/04/2023
Mali,Passing clouds.,99,20/04/2023
Mauritania,Sunny.,88,20/04/2023
Niger,Sunny.,106,20/04/2023
Nigeria,Overcast.,85,20/04/2023
Senegal,Passing clouds.,73,20/04/2023
Sierra-Leone,Partly sunny.,82,20/04/2023
Togo,Passing clouds.,88,20/04/2023
Benin,Scattered clouds.,88,21/04/2023
Burkina-Faso,Scattered clouds.,89,21/04/2023
Cape-Verde,Overcast.,76,21/04/2023
Cote-Divoire,Partly sunny.,82,21/04/2023
Gambia,Sunny.,82,21/04/2023
Ghana,Sunny.,90,21/04/2023
Guinea,Partly sunny.,84,21/04/2023
Guinea-Bissau,Clear.,84,21/04/2023
Liberia,Partly sunny.,90,21/04/2023
Mali,Passing clouds.,99,21/04/2023
Mauritania,Sunny.,81,21/04/2023
Niger,Sunny.,100,21/04/2023
Nigeria,Overcast.,86,21/04/2023
Senegal,Scattered clouds.,73,21/04/2023
Sierra-Leone,Partly sunny.,77,21/04/2023
Togo,Passing clouds.,90,21/04/2023
Benin,Scattered clouds.,90,22/04/2023
Burkina-Faso,Scattered clouds.,91,22/04/2023
Cape-Verde,Passing clouds.,71,22/04/2023
Cote-Divoire,Partly sunny.,83,22/04/2023
Gambia,Sunny.,82,22/04/2023
Ghana,Partly sunny.,90,22/04/2023
Guinea,Passing clouds.,88,22/04/2023
Guinea-Bissau,Clear.,93,22/04/2023
Liberia,Partly sunny.,88,22/04/2023
Mali,Passing clouds.,100,22/04/2023
Mauritania,Partly sunny.,77,22/04/2023
Niger,Sunny.,104,22/04/2023
Nigeria,Overcast.,81,22/04/2023
Senegal,Passing clouds.,75,22/04/2023
Sierra-Leone,Passing clouds.,82,22/04/2023
Togo,Passing clouds.,90,22/04/2023
Benin,Thunderstorms. Scattered clouds.,88,23/04/2023
Burkina-Faso,Passing clouds.,89,23/04/2023
Cape-Verde,Scattered clouds.,76,23/04/2023
Cote-Divoire,Overcast.,81,23/04/2023
Gambia,Sunny.,84,23/04/2023
Ghana,Broken clouds.,90,23/04/2023
Guinea,Passing clouds.,88,23/04/2023
Guinea-Bissau,Clear.,91,23/04/2023
Liberia,Scattered clouds.,84,23/04/2023
Mali,Sunny.,99,23/04/2023
Mauritania,Sunny.,86,23/04/2023
Niger,Passing clouds.,104,23/04/2023
Nigeria,Overcast.,86,23/04/2023
Senegal,Sunny.,75,23/04/2023
Sierra-Leone,Partly sunny.,79,23/04/2023
Togo,Scattered clouds.,90,23/04/2023
Benin,Scattered clouds.,88,24/04/2023
Burkina-Faso,Partly sunny.,90,24/04/2023
Cape-Verde,Passing clouds.,70,24/04/2023
Cote-Divoire,Partly sunny.,78,24/04/2023
Gambia,Sunny.,88,24/04/2023
Ghana,Passing clouds.,86,24/04/2023
Guinea,Scattered clouds.,88,24/04/2023
Guinea-Bissau,Clear.,91,24/04/2023
Liberia,Partly sunny.,88,24/04/2023
Mali,Passing clouds.,100,24/04/2023
Mauritania,Sunny.,97,24/04/2023
Niger,Sunny.,99,24/04/2023
Nigeria,Overcast.,77,24/04/2023
Senegal,Sunny.,75,24/04/2023
Sierra-Leone,Partly sunny.,81,24/04/2023
Togo,Passing clouds.,84,24/04/2023
Benin,Scattered clouds.,90,25/04/2023
Burkina-Faso,Scattered clouds.,88,25/04/2023
Cape-Verde,Passing clouds.,71,25/04/2023
Cote-Divoire,Partly sunny.,82,25/04/2023
Gambia,Sunny.,91,25/04/2023
Ghana,Scattered clouds.,90,25/04/2023
Guinea,Partly sunny.,90,25/04/2023
Guinea-Bissau,Clear.,91,25/04/2023
Liberia,Partly sunny.,88,25/04/2023
Mali,Passing clouds.,104,25/04/2023
Mauritania,Sunny.,90,25/04/2023
Niger,Sunny.,106,25/04/2023
Nigeria,Overcast.,85,25/04/2023
Senegal,Sunny.,77,25/04/2023
Sierra-Leone,Partly sunny.,81,25/04/2023
Togo,Scattered clouds.,90,25/04/2023
Benin,Scattered clouds.,86,26/04/2023
Burkina-Faso,Scattered clouds.,88,26/04/2023
Cape-Verde,Passing clouds.,71,26/04/2023
Cote-Divoire,Overcast.,83,26/04/2023
Gambia,Sunny.,82,26/04/2023
Ghana,Passing clouds.,86,26/04/2023
Guinea,Scattered clouds.,86,26/04/2023
Guinea-Bissau,Clear.,81,26/04/2023
Liberia,Partly sunny.,77,26/04/2023
Mali,Sunny.,97,26/04/2023
