Country,Current_Weather,Current_Temperature(F),Date
Guinea,Scattered clouds.,90,13/05/2023
Guinea-Bissau,Passing clouds.,88,13/05/2023
Liberia,Scattered clouds.,88,13/05/2023
Mali,Passing clouds.,95,13/05/2023
Mauritania,Sunny.,95,13/05/2023
Niger,Sunny.,99,13/05/2023
Nigeria,Overcast.,87,13/05/2023
Senegal,Scattered clouds.,79,13/05/2023
Sierra-Leone,Partly sunny.,79,13/05/2023
Togo,Scattered clouds.,91,13/05/2023
Benin,Scattered clouds.,88,14/05/2023
Burkina-Faso,Scattered clouds.,88,14/05/2023
Cape-Verde,Passing clouds.,72,14/05/2023
Cote-Divoire,Overcast.,78,14/05/2023
Gambia,Sunny.,84,14/05/2023
Ghana,Scattered clouds.,88,14/05/2023
Guinea,Scattered clouds.,82,14/05/2023
Guinea-Bissau,Passing clouds.,88,14/05/2023
Liberia,Partly sunny.,90,14/05/2023
Mali,Passing clouds.,82,14/05/2023
Mauritania,Sunny.,88,14/05/2023
Niger,Sunny.,106,14/05/2023
Nigeria,Overcast.,85,14/05/2023
Senegal,Partly sunny.,79,14/05/2023
Sierra-Leone,Scattered clouds.,82,14/05/2023
Togo,Passing clouds.,88,14/05/2023
Benin,Passing clouds.,81,15/05/2023
Burkina-Faso,Partly sunny.,88,15/05/2023
Cape-Verde,Passing clouds.,72,15/05/2023
Cote-Divoire,Overcast.,72,15/05/2023
Gambia,Sunny.,84,15/05/2023
Ghana,Light rain. Partly sunny.,73,15/05/2023
Guinea,Scattered clouds.,90,15/05/2023
Guinea-Bissau,Passing clouds.,88,15/05/2023
Liberia,Partly sunny.,82,15/05/2023
Mali,Sunny.,91,15/05/2023
Mauritania,Sunny.,93,15/05/2023
Niger,Duststorm.,104,15/05/2023
Nigeria,Overcast.,82,15/05/2023
Senegal,Scattered clouds.,79,15/05/2023
Sierra-Leone,Partly sunny.,84,15/05/2023
Togo,Passing clouds.,77,15/05/2023
Benin,Partly sunny.,84,16/05/2023
Burkina-Faso,Thunderstorms. Overcast.,87,16/05/2023
Cape-Verde,Partly sunny.,74,16/05/2023
Cote-Divoire,Overcast.,80,16/05/2023
Gambia,Sunny.,82,16/05/2023
Ghana,Passing clouds.,88,16/05/2023
Guinea,Scattered clouds.,88,16/05/2023
Guinea-Bissau,Clear.,88,16/05/2023
Liberia,Partly sunny.,86,16/05/2023
Mali,Passing clouds.,91,16/05/2023
Mauritania,Sunny.,86,16/05/2023
Niger,Passing clouds.,100,16/05/2023
Nigeria,Overcast.,80,16/05/2023
Senegal,Scattered clouds.,79,16/05/2023
Sierra-Leone,Partly sunny.,84,16/05/2023
Togo,Scattered clouds.,88,16/05/2023
Benin,Scattered clouds.,90,17/05/2023
Burkina-Faso,Sprinkles. Overcast.,88,17/05/2023
Cape-Verde,Passing clouds.,72,17/05/2023
Cote-Divoire,Passing clouds.,82,17/05/2023
Gambia,Sunny.,84,17/05/2023
Ghana,Scattered clouds.,90,17/05/2023
Guinea,Scattered clouds.,88,17/05/2023
Guinea-Bissau,Clear.,91,17/05/2023
Liberia,Partly sunny.,88,17/05/2023
Mali,Passing clouds.,95,17/05/2023
Mauritania,Sunny.,88,17/05/2023
Niger,Sunny.,102,17/05/2023
Nigeria,Overcast.,87,17/05/2023
Senegal,Partly sunny.,81,17/05/2023
Sierra-Leone,Partly sunny.,82,17/05/2023
Togo,Passing clouds.,90,17/05/2023
Benin,Passing clouds.,82,18/05/2023
Burkina-Faso,Partly sunny.,83,18/05/2023
Cape-Verde,Overcast.,79,18/05/2023
Cote-Divoire,Overcast.,81,18/05/2023
Gambia,Sunny.,91,18/05/2023
Ghana,Thunderstorms. Scattered clouds.,79,18/05/2023
Guinea,Broken clouds.,84,18/05/2023
Guinea-Bissau,Clear.,91,18/05/2023
Liberia,Thunderstorms. Partly sunny.,86,18/05/2023
Mali,Passing clouds.,82,18/05/2023
Mauritania,Sunny.,95,18/05/2023
Niger,Sunny.,93,18/05/2023
Nigeria,Overcast.,81,18/05/2023
Senegal,Sunny.,81,18/05/2023
Sierra-Leone,Partly sunny.,82,18/05/2023
Togo,Thunderstorms. Passing clouds.,75,18/05/2023
Benin,Scattered clouds.,90,19/05/2023
Burkina-Faso,Overcast.,86,19/05/2023
Cape-Verde,Passing clouds.,71,19/05/2023
Cote-Divoire,Partly sunny.,77,19/05/2023
Gambia,Sunny.,84,19/05/2023
Ghana,Partly sunny.,88,19/05/2023
Guinea,Light rain. Partly sunny.,79,19/05/2023
Guinea-Bissau,Clear.,90,19/05/2023
Liberia,Drizzle. Partly sunny.,77,19/05/2023
Mali,Passing clouds.,90,19/05/2023
Mauritania,Sunny.,97,19/05/2023
Niger,Partly sunny.,91,19/05/2023
Nigeria,Overcast.,86,19/05/2023
Senegal,Passing clouds.,81,19/05/2023
Sierra-Leone,Thunderstorms. Partly sunny.,73,19/05/2023
Togo,Passing clouds.,90,19/05/2023
Benin,Thunderstorms. Partly sunny.,75,20/05/2023
Burkina-Faso,Partly sunny.,86,20/05/2023
Cape-Verde,Scattered clouds.,75,20/05/2023
Cote-Divoire,Partly sunny.,80,20/05/2023
Gambia,Sunny.,86,20/05/2023
Ghana,Broken clouds.,88,20/05/2023
Guinea,Partly sunny.,86,20/05/2023
Guinea-Bissau,Clear.,86,20/05/2023
Liberia,Partly sunny.,86,20/05/2023
Mali,Sunny.,88,20/05/2023
Mauritania,Sunny.,93,20/05/2023
Niger,Passing clouds.,100,20/05/2023
Nigeria,Overcast.,83,20/05/2023
Senegal,Sunny.,81,20/05/2023
Sierra-Leone,Drizzle. Partly sunny.,77,20/05/2023
Togo,Thunderstorms. Passing clouds.,90,20/05/2023
Benin,Passing clouds.,84,21/05/2023
Burkina-Faso,Overcast.,83,21/05/2023
Cape-Verde,Scattered clouds.,75,21/05/2023
Cote-Divoire,Partly sunny.,80,21/05/2023
Gambia,Sunny.,88,21/05/2023
Ghana,Scattered clouds.,88,21/05/2023
Guinea,Broken clouds.,86,21/05/2023
Guinea-Bissau,Clear.,91,21/05/2023
Liberia,Partly sunny.,88,21/05/2023
Mali,Passing clouds.,84,21/05/2023
Mauritania,Scattered clouds.,82,21/05/2023
Niger,Passing clouds.,100,21/05/2023
Nigeria,Overcast.,84,21/05/2023
Senegal,Sunny.,88,21/05/2023
Sierra-Leone,Partly sunny.,84,21/05/2023
Togo,Passing clouds.,90,21/05/2023
Benin,Scattered clouds.,88,22/05/2023
Burkina-Faso,Scattered clouds.,89,22/05/2023
Cape-Verde,Partly sunny.,79,22/05/2023
Cote-Divoire,Scattered clouds.,83,22/05/2023
Gambia,Sunny.,88,22/05/2023
Ghana,Partly sunny.,86,22/05/2023
Guinea,Light rain. Partly sunny.,82,22/05/2023
Guinea-Bissau,Rain. Partly sunny.,75,22/05/2023
Liberia,Partly sunny.,88,22/05/2023
Mali,Passing clouds.,91,22/05/2023
Mauritania,Sunny.,91,22/05/2023
Niger,Sunny.,82,22/05/2023
Nigeria,Overcast.,85,22/05/2023
Senegal,Sunny.,81,22/05/2023
Sierra-Leone,Partly sunny.,81,22/05/2023
Togo,Scattered clouds.,88,22/05/2023
Benin,Broken clouds.,86,23/05/2023
Burkina-Faso,Scattered clouds.,88,23/05/2023
Cape-Verde,Passing clouds.,72,23/05/2023
Cote-Divoire,Overcast.,78,23/05/2023
Gambia,Sunny.,88,23/05/2023
Ghana,Passing clouds.,88,23/05/2023
Guinea,Broken clouds.,90,23/05/2023
Guinea-Bissau,Clear.,91,23/05/2023
Liberia,Drizzle. Partly sunny.,77,23/05/2023
Mali,Sunny.,88,23/05/2023
Mauritania,Sunny.,88,23/05/2023
Niger,Sunny.,99,23/05/2023
Nigeria,Overcast.,76,23/05/2023
Senegal,Sunny.,77,23/05/2023
Sierra-Leone,Partly sunny.,79,23/05/2023
Togo,Scattered clouds.,88,23/05/2023
Benin,Scattered clouds.,88,24/05/2023
Burkina-Faso,Scattered clouds.,90,24/05/2023
Cape-Verde,Passing clouds.,71,24/05/2023
Cote-Divoire,Scattered clouds.,83,24/05/2023
Gambia,Sunny.,86,24/05/2023
Ghana,Partly sunny.,88,24/05/2023
Guinea,Passing clouds.,88,24/05/2023
Guinea-Bissau,Clear.,93,24/05/2023
Liberia,Partly sunny.,90,24/05/2023
Mali,Passing clouds.,97,24/05/2023
Mauritania,Sunny.,99,24/05/2023
Niger,Passing clouds.,100,24/05/2023
Nigeria,Overcast.,72,24/05/2023
Senegal,Sunny.,79,24/05/2023
Sierra-Leone,Partly sunny.,86,24/05/2023
Togo,Thunderstorms. Scattered clouds.,86,24/05/2023
Benin,Scattered clouds.,88,25/05/2023
Burkina-Faso,Overcast.,90,25/05/2023
Cape-Verde,Partly sunny.,75,25/05/2023
Cote-Divoire,Overcast.,81,25/05/2023
Gambia,Sunny.,88,25/05/2023
Ghana,Passing clouds.,84,25/05/2023
Guinea,Scattered clouds.,84,25/05/2023
Guinea-Bissau,Passing clouds.,90,25/05/2023
Liberia,Partly sunny.,86,25/05/2023
Mali,Thunderstorms. Passing clouds.,72,25/05/2023
Mauritania,Sunny.,97,25/05/2023
Niger,Sunny.,99,25/05/2023
Nigeria,Partly sunny.,88,25/05/2023
Senegal,Sunny.,82,25/05/2023
Sierra-Leone,Scattered clouds.,82,25/05/2023
Togo,Passing clouds.,88,25/05/2023
Benin,Scattered clouds.,90,26/05/2023
Burkina-Faso,Thunderstorms. Overcast.,84,26/05/2023
Cape-Verde,Overcast.,72,26/05/2023
Cote-Divoire,Overcast.,79,26/05/2023
Gambia,Sunny.,90,26/05/2023
Ghana,Scattered clouds.,88,26/05/2023
Guinea,Broken clouds.,82,26/05/2023
Guinea-Bissau,Partly sunny.,90,26/05/2023
Liberia,Partly sunny.,86,26/05/2023
Mali,Passing clouds.,90,26/05/2023
Mauritania,Sunny.,95,26/05/2023
Niger,Clear.,102,26/05/2023
Nigeria,Overcast.,79,26/05/2023
Senegal,Clear.,82,26/05/2023
Sierra-Leone,Partly sunny.,79,26/05/2023
Togo,Passing clouds.,90,26/05/2023
Benin,Thunderstorms. Scattered clouds.,75,27/05/2023
Burkina-Faso,Sprinkles. Overcast.,82,27/05/2023
Cape-Verde,Passing clouds.,73,27/05/2023
Cote-Divoire,Partly sunny.,80,27/05/2023
Gambia,Sunny.,91,27/05/2023
Ghana,Passing clouds.,84,27/05/2023
Guinea,Partly sunny.,86,27/05/2023
Guinea-Bissau,Clear.,91,27/05/2023
Liberia,Partly sunny.,88,27/05/2023
Mali,Passing clouds.,93,27/05/2023
Mauritania,Sunny.,95,27/05/2023
Niger,Clear.,102,27/05/2023
Nigeria,Scattered clouds.,82,27/05/2023
Senegal,Sunny.,82,27/05/2023
Sierra-Leone,Partly sunny.,84,27/05/2023
Togo,Thunderstorms. Passing clouds.,84,27/05/2023
Benin,Scattered clouds.,88,28/05/2023
Burkina-Faso,Overcast.,89,28/05/2023
Cape-Verde,Overcast.,76,28/05/2023
Cote-Divoire,Overcast.,80,28/05/2023
Gambia,Sunny.,93,28/05/2023
Ghana,Partly sunny.,84,28/05/2023
Guinea,Scattered clouds.,88,28/05/2023
Guinea-Bissau,Clear.,90,28/05/2023
Liberia,Thunderstorms. Partly sunny.,86,28/05/2023
Mali,Passing clouds.,95,28/05/2023
Mauritania,Sunny.,102,28/05/2023
Niger,Clear.,102,28/05/2023
Nigeria,Overcast.,83,28/05/2023
Senegal,Sunny.,82,28/05/2023
Sierra-Leone,Partly sunny.,81,28/05/2023
Togo,Scattered clouds.,88,28/05/2023
Benin,Passing clouds.,81,29/05/2023
Burkina-Faso,Thunderstorms. Overcast.,87,29/05/2023
Cape-Verde,Passing clouds.,78,29/05/2023
Cote-Divoire,Passing clouds.,75,29/05/2023
Gambia,Sunny.,93,29/05/2023
Ghana,Scattered clouds.,86,29/05/2023
Guinea,Partly sunny.,86,29/05/2023
Guinea-Bissau,Passing clouds.,93,29/05/2023
Liberia,Partly sunny.,88,29/05/2023
Mali,Passing clouds.,93,29/05/2023
Mauritania,Sunny.,102,29/05/2023
Niger,Passing clouds.,97,29/05/2023
Nigeria,Overcast.,80,29/05/2023
Senegal,Sunny.,82,29/05/2023
Sierra-Leone,Partly sunny.,79,29/05/2023
Togo,Thunderstorms. Partly sunny.,81,29/05/2023
Benin,Scattered clouds.,86,30/05/2023
Burkina-Faso,Overcast.,87,30/05/2023
Cape-Verde,Partly sunny.,83,30/05/2023
Cote-Divoire,Scattered clouds.,86,30/05/2023
Gambia,Sunny.,95,30/05/2023
Ghana,Overcast.,86,30/05/2023
Guinea,Light rain. Mostly cloudy.,82,30/05/2023
Guinea-Bissau,Passing clouds.,91,30/05/2023
Liberia,Rain showers. Partly sunny.,86,30/05/2023
Mali,Sunny.,99,30/05/2023
Mauritania,Sunny.,104,30/05/2023
Niger,Sunny.,97,30/05/2023
Nigeria,Scattered clouds.,90,30/05/2023
Senegal,Sunny.,84,30/05/2023
Sierra-Leone,Partly sunny.,84,30/05/2023
Togo,Scattered clouds.,88,30/05/2023
Benin,Light rain. Scattered clouds.,84,31/05/2023
Burkina-Faso,Overcast.,88,31/05/2023
Cape-Verde,Passing clouds.,79,31/05/2023
Cote-Divoire,Overcast.,82,31/05/2023
Gambia,Sunny.,86,31/05/2023
Ghana,Partly sunny.,84,31/05/2023
Guinea,Light rain. Mostly cloudy.,81,31/05/2023
Guinea-Bissau,Passing clouds.,81,31/05/2023
Liberia,Partly sunny.,88,31/05/2023
Mali,Passing clouds.,88,31/05/2023
Mauritania,Sunny.,108,31/05/2023
Niger,Clear.,93,31/05/2023
Nigeria,Overcast.,87,31/05/2023
Senegal,Sunny.,82,31/05/2023
Sierra-Leone,Partly sunny.,79,31/05/2023
Togo,Passing clouds.,84,31/05/2023
Benin,Scattered clouds.,84,01/06/2023
Burkina-Faso,Overcast.,88,01/06/2023
Cape-Verde,Passing clouds.,74,01/06/2023
Cote-Divoire,Overcast.,81,01/06/2023
Gambia,Scattered clouds.,84,01/06/2023
Ghana,Passing clouds.,77,01/06/2023
Guinea,Broken clouds.,84,01/06/2023
Guinea-Bissau,Partly sunny.,88,01/06/2023
Liberia,Partly sunny.,86,01/06/2023
Mali,Passing clouds.,88,01/06/2023
Mauritania,Sunny.,88,01/06/2023
Niger,Sunny.,99,01/06/2023
Nigeria,Thunderstorms. Low clouds.,74,01/06/2023
Senegal,Sunny.,82,01/06/2023
Sierra-Leone,Scattered clouds.,84,01/06/2023
Togo,Passing clouds.,84,01/06/2023
Benin,Thunderstorms. Scattered clouds.,84,02/06/2023
Burkina-Faso,Partly sunny.,88,02/06/2023
Cape-Verde,Passing clouds.,83,02/06/2023
Cote-Divoire,Passing clouds.,79,02/06/2023
Gambia,Sunny.,90,02/06/2023
Ghana,Passing clouds.,86,02/06/2023
Guinea,Partly sunny.,82,02/06/2023
Guinea-Bissau,Passing clouds.,86,02/06/2023
Liberia,Partly sunny.,86,02/06/2023
Mali,Passing clouds.,95,02/06/2023
Mauritania,Sunny.,91,02/06/2023
Niger,Passing clouds.,100,02/06/2023
Nigeria,Overcast.,85,02/06/2023
Senegal,Sunny.,81,02/06/2023
Sierra-Leone,Partly sunny.,81,02/06/2023
Togo,Scattered clouds.,84,02/06/2023
Benin,Thunderstorms. Partly sunny.,79,03/06/2023
Burkina-Faso,Partly sunny.,90,03/06/2023
Cape-Verde,Overcast.,74,03/06/2023
Cote-Divoire,Partly sunny.,77,03/06/2023
Gambia,Sunny.,88,03/06/2023
Ghana,Scattered clouds.,82,03/06/2023
Guinea,Partly sunny.,84,03/06/2023
Guinea-Bissau,Passing clouds.,88,03/06/2023
Liberia,Light rain. Partly sunny.,73,03/06/2023
Mali,Passing clouds.,90,03/06/2023
Mauritania,Sunny.,91,03/06/2023
Niger,Passing clouds.,97,03/06/2023
Nigeria,Overcast.,81,03/06/2023
Senegal,Partly sunny.,81,03/06/2023
Sierra-Leone,Partly sunny.,81,03/06/2023
Togo,Scattered clouds.,86,03/06/2023
Benin,Passing clouds.,86,04/06/2023
Burkina-Faso,Overcast.,87,04/06/2023
Cape-Verde,Passing clouds.,80,04/06/2023
Cote-Divoire,Partly sunny.,81,04/06/2023
Gambia,Sunny.,88,04/06/2023
Ghana,Passing clouds.,82,04/06/2023
Guinea,Broken clouds.,84,04/06/2023
Guinea-Bissau,Clear.,88,04/06/2023
Liberia,Partly sunny.,88,04/06/2023
Mali,Passing clouds.,93,04/06/2023
Mauritania,Sunny.,91,04/06/2023
Niger,Scattered clouds.,97,04/06/2023
Nigeria,Overcast.,73,04/06/2023
Senegal,Passing clouds.,81,04/06/2023
Sierra-Leone,Partly sunny.,82,04/06/2023
Togo,Passing clouds.,88,04/06/2023
Benin,Scattered clouds.,88,05/06/2023
Burkina-Faso,Thunderstorms. Overcast.,87,05/06/2023
Cape-Verde,Passing clouds.,73,05/06/2023
Cote-Divoire,Overcast.,80,05/06/2023
Gambia,Scattered clouds.,88,05/06/2023
Ghana,Passing clouds.,88,05/06/2023
Guinea,Scattered clouds.,86,05/06/2023
Guinea-Bissau,Passing clouds.,90,05/06/2023
Liberia,Partly sunny.,84,05/06/2023
Mali,Passing clouds.,77,05/06/2023
Mauritania,Sunny.,97,05/06/2023
Niger,Sunny.,100,05/06/2023
Nigeria,Overcast.,76,05/06/2023
Senegal,Scattered clouds.,81,05/06/2023
Sierra-Leone,Partly sunny.,82,05/06/2023
Togo,Passing clouds.,88,05/06/2023
Benin,Scattered clouds.,86,06/06/2023
Burkina-Faso,Overcast.,85,06/06/2023
Cape-Verde,Passing clouds.,81,06/06/2023
Cote-Divoire,Overcast.,78,06/06/2023
Gambia,Sunny.,88,06/06/2023
Ghana,Scattered clouds.,88,06/06/2023
Guinea,Scattered clouds.,86,06/06/2023
Guinea-Bissau,Clear.,86,06/06/2023
Liberia,Partly sunny.,86,06/06/2023
Mali,Passing clouds.,90,06/06/2023
Mauritania,Sunny.,90,06/06/2023
Niger,Sunny.,100,06/06/2023
Nigeria,Thunderstorms. Low clouds.,72,06/06/2023
Senegal,Sunny.,82,06/06/2023
Sierra-Leone,Scattered clouds.,82,06/06/2023
Togo,Scattered clouds.,88,06/06/2023
Benin,Scattered clouds.,84,07/06/2023
Burkina-Faso,Overcast.,83,07/06/2023
Cape-Verde,Passing clouds.,84,07/06/2023
Cote-Divoire,Overcast.,78,07/06/2023
Gambia,Sunny.,93,07/06/2023
Ghana,Overcast.,81,07/06/2023
Guinea,Broken clouds.,86,07/06/2023
Guinea-Bissau,Passing clouds.,90,07/06/2023
Liberia,Partly sunny.,84,07/06/2023
Mali,Passing clouds.,93,07/06/2023
Mauritania,Sunny.,99,07/06/2023
Niger,Sunny.,99,07/06/2023
Nigeria,Overcast.,81,07/06/2023
Senegal,Partly sunny.,82,07/06/2023
Sierra-Leone,Scattered clouds.,84,07/06/2023
Togo,Scattered clouds.,81,07/06/2023
Benin,Scattered clouds.,82,08/06/2023
Burkina-Faso,Haze.,87,08/06/2023
Cape-Verde,Passing clouds.,74,08/06/2023
Cote-Divoire,Overcast.,78,08/06/2023
Gambia,Scattered clouds.,88,08/06/2023
Ghana,Scattered clouds.,81,08/06/2023
Guinea,Scattered clouds.,88,08/06/2023
Guinea-Bissau,Passing clouds.,90,08/06/2023
Liberia,Partly sunny.,86,08/06/2023
Mali,Passing clouds.,93,08/06/2023
Mauritania,Sunny.,99,08/06/2023
Niger,Sunny.,99,08/06/2023
Nigeria,Overcast.,79,08/06/2023
Senegal,Scattered clouds.,82,08/06/2023
Sierra-Leone,Scattered clouds.,84,08/06/2023
Togo,Passing clouds.,81,08/06/2023
Benin,Scattered clouds.,86,09/06/2023
Burkina-Faso,Scattered clouds.,88,09/06/2023
Cape-Verde,Passing clouds.,74,09/06/2023
Cote-Divoire,Overcast.,80,09/06/2023
Gambia,Scattered clouds.,88,09/06/2023
Ghana,Passing clouds.,86,09/06/2023
Guinea,Broken clouds.,86,09/06/2023
Guinea-Bissau,Partly sunny.,88,09/06/2023
Liberia,Partly sunny.,88,09/06/2023
Mali,Passing clouds.,93,09/06/2023
Mauritania,Sunny.,102,09/06/2023
Niger,Sunny.,99,09/06/2023
Nigeria,Overcast.,80,09/06/2023
Senegal,Scattered clouds.,82,09/06/2023
Sierra-Leone,Partly sunny.,86,09/06/2023
Togo,Passing clouds.,86,09/06/2023
Benin,Light rain. Scattered clouds.,81,10/06/2023
Burkina-Faso,Partly sunny.,84,10/06/2023
Cape-Verde,Passing clouds.,75,10/06/2023
Cote-Divoire,Partly sunny.,81,10/06/2023
Gambia,Passing clouds.,90,10/06/2023
Ghana,Light rain. Partly sunny.,79,10/06/2023
Guinea,Scattered clouds.,86,10/06/2023
Guinea-Bissau,Clear.,91,10/06/2023
Liberia,Partly sunny.,84,10/06/2023
Mali,Passing clouds.,90,10/06/2023
Mauritania,Sunny.,106,10/06/2023
Niger,Sunny.,88,10/06/2023
Nigeria,Thundershowers. Low clouds.,71,10/06/2023
Senegal,Sunny.,82,10/06/2023
Sierra-Leone,Partly sunny.,82,10/06/2023
Togo,Broken clouds.,81,10/06/2023
Benin,Scattered clouds.,86,11/06/2023
Burkina-Faso,Rain. Overcast.,79,11/06/2023
Cape-Verde,Passing clouds.,76,11/06/2023
Cote-Divoire,Overcast.,75,11/06/2023
Gambia,Scattered clouds.,91,11/06/2023
Ghana,Overcast.,84,11/06/2023
Guinea,Partly sunny.,84,11/06/2023
Guinea-Bissau,Passing clouds.,88,11/06/2023
Liberia,Partly sunny.,81,11/06/2023
Mali,Passing clouds.,91,11/06/2023
Mauritania,Sunny.,108,11/06/2023
Niger,Sunny.,90,11/06/2023
Nigeria,Thunderstorms. Overcast.,75,11/06/2023
Senegal,Sunny.,86,11/06/2023
Sierra-Leone,Thunderstorms. Partly sunny.,75,11/06/2023
Togo,Passing clouds.,86,11/06/2023
Benin,Scattered clouds.,86,12/06/2023
Burkina-Faso,Light rain. Overcast.,83,12/06/2023
Cape-Verde,Passing clouds.,78,12/06/2023
Cote-Divoire,Overcast.,77,12/06/2023
Gambia,Partly sunny.,91,12/06/2023
Ghana,Passing clouds.,84,12/06/2023
Guinea,Partly sunny.,81,12/06/2023
Guinea-Bissau,Scattered clouds.,88,12/06/2023
Liberia,Drizzle. Partly sunny.,77,12/06/2023
Mali,Partly sunny.,84,12/06/2023
Mauritania,Sunny.,102,12/06/2023
Niger,Passing clouds.,82,12/06/2023
Nigeria,Low clouds.,74,12/06/2023
Senegal,Sunny.,86,12/06/2023
Sierra-Leone,Partly sunny.,81,12/06/2023
Togo,Scattered clouds.,86,12/06/2023
Benin,Scattered clouds.,86,13/06/2023
Burkina-Faso,Scattered clouds.,87,13/06/2023
Cape-Verde,Clear.,76,13/06/2023
Cote-Divoire,Partly sunny.,79,13/06/2023
Gambia,Partly sunny.,91,13/06/2023
Ghana,Scattered clouds.,84,13/06/2023
Guinea,Scattered clouds.,86,13/06/2023
Guinea-Bissau,Partly sunny.,86,13/06/2023
Liberia,Partly sunny.,82,13/06/2023
Mali,Passing clouds.,81,13/06/2023
Mauritania,Sunny.,99,13/06/2023
Niger,Scattered clouds.,91,13/06/2023
Nigeria,Overcast.,76,13/06/2023
Senegal,Sunny.,88,13/06/2023
Sierra-Leone,Partly sunny.,82,13/06/2023
Togo,Passing clouds.,86,13/06/2023
Benin,Scattered clouds.,84,14/06/2023
Burkina-Faso,Partly sunny.,88,14/06/2023
Cape-Verde,Partly sunny.,76,14/06/2023
Cote-Divoire,Partly sunny.,78,14/06/2023
Gambia,Partly sunny.,88,14/06/2023
Ghana,Partly sunny.,82,14/06/2023
Guinea,Light rain. Partly sunny.,81,14/06/2023
Guinea-Bissau,Thunderstorms. Scattered clouds.,81,14/06/2023
Liberia,Partly sunny.,82,14/06/2023
Mali,Scattered clouds.,86,14/06/2023
Mauritania,Sunny.,88,14/06/2023
Niger,Sunny.,91,14/06/2023
Nigeria,Low clouds.,73,14/06/2023
Senegal,Scattered clouds.,82,14/06/2023
Sierra-Leone,Partly sunny.,82,14/06/2023
Togo,Passing clouds.,86,14/06/2023
Benin,Rain. Partly sunny.,79,15/06/2023
Burkina-Faso,Thunderstorms. Overcast.,86,15/06/2023
Cape-Verde,Passing clouds.,74,15/06/2023
Cote-Divoire,Partly sunny.,78,15/06/2023
Gambia,Partly sunny.,84,15/06/2023
Ghana,Partly sunny.,82,15/06/2023
Guinea,Broken clouds.,86,15/06/2023
Guinea-Bissau,Thunderstorms. Partly sunny.,82,15/06/2023
Liberia,Partly sunny.,84,15/06/2023
Mali,Passing clouds.,90,15/06/2023
Mauritania,Sunny.,91,15/06/2023
Niger,Passing clouds.,95,15/06/2023
Nigeria,Overcast.,80,15/06/2023
Senegal,Scattered clouds.,82,15/06/2023
Sierra-Leone,Partly sunny.,82,15/06/2023
Togo,Broken clouds.,84,15/06/2023
Benin,Scattered clouds.,86,16/06/2023
Burkina-Faso,Scattered clouds.,91,16/06/2023
Cape-Verde,Passing clouds.,74,16/06/2023
Cote-Divoire,Partly sunny.,79,16/06/2023
Gambia,Sunny.,88,16/06/2023
Ghana,Scattered clouds.,84,16/06/2023
Guinea,Broken clouds.,84,16/06/2023
Guinea-Bissau,Partly sunny.,86,16/06/2023
Liberia,Partly sunny.,86,16/06/2023
Mali,Passing clouds.,86,16/06/2023
Mauritania,Sunny.,97,16/06/2023
Niger,Passing clouds.,93,16/06/2023
Nigeria,Overcast.,81,16/06/2023
Senegal,Passing clouds.,82,16/06/2023
Sierra-Leone,Partly sunny.,79,16/06/2023
Togo,Passing clouds.,86,16/06/2023
Benin,Scattered clouds.,86,17/06/2023
Burkina-Faso,Passing clouds.,93,17/06/2023
Cape-Verde,Passing clouds.,74,17/06/2023
Cote-Divoire,Overcast.,79,17/06/2023
Gambia,Partly sunny.,90,17/06/2023
Ghana,Scattered clouds.,88,17/06/2023
Guinea,Broken clouds.,84,17/06/2023
Guinea-Bissau,Partly sunny.,86,17/06/2023
Liberia,Partly sunny.,84,17/06/2023
Mali,Scattered clouds.,79,17/06/2023
Mauritania,Sunny.,91,17/06/2023
Niger,Clear.,95,17/06/2023
Nigeria,Overcast.,82,17/06/2023
Senegal,Passing clouds.,86,17/06/2023
Sierra-Leone,Rain. Partly sunny.,81,17/06/2023
Togo,Passing clouds.,86,17/06/2023
Benin,Scattered clouds.,86,18/06/2023
Burkina-Faso,Scattered clouds.,92,18/06/2023
Cape-Verde,Passing clouds.,76,18/06/2023
Cote-Divoire,Passing clouds.,74,18/06/2023
Gambia,Partly sunny.,90,18/06/2023
Ghana,Partly sunny.,86,18/06/2023
Guinea,Broken clouds.,82,18/06/2023
Guinea-Bissau,Scattered clouds.,81,18/06/2023
Liberia,Drizzle. Partly sunny.,79,18/06/2023
Mali,Passing clouds.,86,18/06/2023
Mauritania,Sunny.,91,18/06/2023
Niger,Sunny.,97,18/06/2023
Nigeria,Partly sunny.,75,18/06/2023
Senegal,Sunny.,84,18/06/2023
Sierra-Leone,Partly sunny.,81,18/06/2023
Togo,Scattered clouds.,86,18/06/2023
Benin,Scattered clouds.,82,19/06/2023
Burkina-Faso,Scattered clouds.,88,19/06/2023
Cape-Verde,Passing clouds.,76,19/06/2023
Cote-Divoire,Overcast.,79,19/06/2023
Gambia,Broken clouds.,84,19/06/2023
Ghana,Mostly cloudy.,77,19/06/2023
Guinea,Partly sunny.,82,19/06/2023
Guinea-Bissau,Thunderstorms. Scattered clouds.,81,19/06/2023
Liberia,Partly sunny.,84,19/06/2023
Mali,Passing clouds.,91,19/06/2023
Mauritania,Sunny.,95,19/06/2023
Niger,Thundershowers. Passing clouds.,99,19/06/2023
Nigeria,Low clouds.,75,19/06/2023
Senegal,Scattered clouds.,90,19/06/2023
Sierra-Leone,Partly sunny.,82,19/06/2023
Togo,Scattered clouds.,81,19/06/2023
